id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these ideas were considered in the development of interim rules.,The rules developed in the interim were taken together with these comments.,en,English,0
5b72532a0b,"These are the challenges we face in practice with law firm groups, she said.",Practice groups are not permitted to work on these issues.,en,English,2
3931fbe82a,Ces petites choses font une grande différence dans ce que j'essaie de faire.,J'essaye d'accomplir quelque chose.,fr,French,0
5622f0c60b,Do you know that they can't really defend themselves like a grown-up person? Do you know my age,They cannot protect themselves because of age.,en,English,0
86aaa48b45,เล่นตามบทบาทด้วย โอกาสในการแสดงและเล่นบทบาทหลายอย่างในเวลาเดียวกันสามารถช่วยให้เด็ก ๆ ได้จับความเหมือนและความแตกต่างระหว่างผู้คนในความปรารถนาความเชื่อและความรู้สึกของพวกเขา,เด็ก ๆ สามารถเห็นได้ว่าชาติพันธุ์ต่างๆมีความแตกต่างกันอย่างไร,th,Thai,1
ed7d6a1e62,"Bir çiftlikteki birinin ağla kaplı öküzleri kesmemiz gerektiğini söylediğini duyabilirsiniz, bu muhtemelen yüklenecekleri ayırmak anlamına gelir.",Çiftlikteki insanlar farklı terimler kullanıyor.,tr,Turkish,0
5a0f4908a0,امریکہ واپسی پر ، انہوں نے ایف بی آئی ایجنٹوں کے ذریعے ہوائی اڈے پر الحاج سے ملاقات کی ، ان سے تفتیش کی گئی اور اگلے دن گرین جیوری سے پہلے اسامہ بن لادن سے ملاقات کی۔,ہیگ ایف بی آئی کے ایجنٹوں کے ذریعہ تفتیش کی گئی,ur,Urdu,0
fdcd1bd867,From Cockpit Country to St.Ann's Bay,St. Ann's Bay to Cockpit Country.,en,English,2
7cfb3d272c,"Look, it's your skin, but you'll have trouble if you do not bother.",The boss will fire you if he sees you slacking off.,en,English,1
8c10229663,"Каждые 100 градусов цветные пятна меняют цвет, могут становиться красными и менять цвет на синий.",Цвет варьируется в зависимости от матча.,ru,Russian,0
a1971593d5,"Може да не сме имали всичко, което сме искали или виждали от други хора, но тя предостави нещата, от които се нуждаем.","Имаме всичко, от което наистина се нуждаем.",bg,Bulgarian,0
2bf4b86d4f,Es gibt zwanzig Prozent Zinsen,Kann das Interesse 20 überschreiten?,de,German,1
91b03f6bf4,إذا كان ذلك ممكنًا ، تعرف على المخطط مسبقًا.,حاول اكتشاف الحبكة مبكرًا ، إذا استطعت.,ar,Arabic,0
4c25aa4c06,我希望你的领主能够最终开始认识到，向这样的人授予国王委员会的愚蠢行为反对我的所有建议。,大人刚刚接受了我的意见，并且采取了相应的行动。,zh,Chinese,2
82f24422eb,"माजोदी का दावा है कि वह शादी करने के लिए मोरक्को लौट आया था, लेकिन वहां एक कार दुर्घटना में घायल होने के कारण ऐसा करने में असमर्थ था।",मजुदी ने दावा किया कि वह योजना के साथ गया था।,hi,Hindi,2
6d63ae6397,Watoto wangegonga milango ya majirani zao na,Watoto wanaweza kwenda kwenye nyumba za majirani zao.,sw,Swahili,0
dd4f0d9f25,"""If people only knew how fatally easy it is to poison someone by mistake, you wouldn't be joking about it.",Many people have poisoned someone by mistake.,en,English,1
0a3f52c547,"My little corner in the world, monster politics, is an example of this.",An example is that of politics.,en,English,0
4b0eca3ccb,"Life in prison then he is ready to get parole if it's life and one day after that he doesn't qualify for parole, so what you know let's quit BSing with the system",The system is broken because if it is life and one day it cannot parole.,en,English,1
cad235551c,"The streets are full of sweets, curd and coconut shrine, vendors and vendors selling wreaths and sacred displays.",Vendors have torched the streets with torches and fires.,en,English,2
d8b3a4fb06,"North of Mytilene, stop at the village of Moria, where you will find the ruins of a huge Roman aqueduct surrounded by goat grazing.",There is nothing special to see in the village of Moria.,en,English,2
ad5a79456e,"Increased savings by current generations would increase the country's capital stock, allowing future generations to better cover the country's retirement costs while enjoying a higher standard of living.","The increased savings of the present generations will expand the nation's capital stock, allowing future generations to more easily pay the nation's retirement costs while also enjoying higher living standards.",en,English,0
