,id,premise,hypothesis,lang_abv,language,label
0,5130fd2cb5,and these ideas were taken into account in the development of temporary laws.,Provisional rules have been developed in connection with these comments.,en,English,0
1,5b72532a0b,"“These are the challenges we face in practice with law firm groups,” she said.",Practice groups are not allowed to deal with these issues.,en,English,2
2,3931fbe82a,Ces petites choses font une grande différence dans ce que j'essaie de faire.,J'essaye de réaliser quelque chose.,fr,French,0
3,5622f0c60b,Did you know they can't really defend themselves like adults? Do you know my age,They cannot protect themselves due to their age.,en,English,0
4,86aaa48b45,การสวมบทบาทยังสามารถช่วยให้โอกาสในการทำงานและการเล่นหลายบทบาทในเวลาเดียวกัน,เด็กสามารถเห็นโครงสร้างทางชาติพันธุ์ที่แตกต่างกัน,th,Thai,1
5,ed7d6a1e62,"Çiftlikteki insanların inekleri ağ ile kesmemiz gerektiğini söylediğini duyabilirsiniz, bu da yüklü olanı bölmek anlamına gelebilir.",İnsanlar formda farklı terimler kullanır.,tr,Turkish,0
6,5a0f4908a0,امریکہ واپسی پر ، انہوں نے ہوائی اڈے پر الحاج سے ایک ایف بی آئی ایجنٹ کے ذریعہ ان سے پوچھ گچھ کی اور اگلے دن گرین جیوری سے پہلے اسامہ بن لادن سے ملاقات کی۔,لا ہی نے ایف بی آئی کے ایجنٹوں کے ذریعہ تفتیش کی تھی,ur,Urdu,0
7,fdcd1bd867,From the cockpit land in St.Ann Bay,Nchi ya St Cockpit ya St Anne.,en,English,2
8,7cfb3d272c,"See, it's your skin, but you'll be in trouble if you don't take care of it.",The Lord will enlighten you if He sees you coming down.,en,English,1
9,8c10229663,"Каждые 100 градусов капли меняют цвет, могут становиться красными и менять цвет на синий.",Цвет меняется в зависимости от матча.,ru,Russian,0
10,a1971593d5,"Може да нямаме всичко, което искаме или виждаме от други хора, но то осигурява това, от което се нуждаем.","Имаме това, от което наистина се нуждаем.",bg,Bulgarian,0
11,2bf4b86d4f,Es hat 20% Zinsen.,Kann das Interesse 20 überschreiten?,de,German,1
12,91b03f6bf4,إذا أمكن ، تعرف على البرنامج مسبقًا.,ابحث عن قطعة الأرض مبكرًا إذا استطعت.,ar,Arabic,0
13,4c25aa4c06,我希望你的领主能够最终开始认识到，向这样的人授予国王委员会的愚蠢行为反对我的所有建议。,大人刚刚接受了我的意见，并且采取了相应的行动。,zh,Chinese,2
14,82f24422eb,"माजोदी का दावा है कि वह शादी करने के लिए मोरक्को लौट आया था, लेकिन वहां कार दुर्घटना में घायल होने के कारण असमर्थ था।",माज़ुदी ने योजना के साथ जाने का दावा किया।,hi,Hindi,2
15,6d63ae6397,Watoto waligonga milango ya majirani zao,Watoto wanaweza kwenda kwa nyumba za majirani zao.,sw,Swahili,0
16,dd4f0d9f25,"“If people knew how dangerous it would be to poison a person by mistake, you wouldn't joke about it.",Many people have poisoned someone by mistake.,en,English,1
17,0a3f52c547,"Little Angular in the World, Monster Politics, is an example of this.",One example is politics.,en,English,0
18,4b0eca3ccb,Life in prison. He is ready to get parole. If he is for life and one day later he is not eligible for parole. What do you know that let's get out of BSing with the system?,"The system is broken, because if it is for life, and one day you cannot be paroled.",en,English,1
19,cad235551c,"The streets are teeming with candy, cottage cheese and coconut shrines, merchants and traders selling wreaths and sacred spectacles.",The vendors lit the streets with torches and fire.,en,English,2
