id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these ideas were taken into consideration in the development of interim rules.,Interim rules developed in conjunction with these opinions.,en,English,0
5b72532a0b,"These are the challenges we face in practice with groups of law firms, she said.",Practice groups are not allowed to deal with these issues.,en,English,2
3931fbe82a,Ces petites choses font une grande différence dans ce que j'essaie de faire.,J'essaye d'accomplir quelque chose.,fr,French,0
5622f0c60b,Do you know that they can't really defend themselves like an adult person? Do you know my age,They cannot protect themselves because of age.,en,English,0
86aaa48b45,การเล่นบทบาทสมมติยังสามารถช่วยให้เกิดโอกาสในการทำงานและการเล่นหลายบทบาทในเวลาเดียวกันเด็ก ๆ สามารถรับความเหมือนและความแตกต่างระหว่างบุคคลในความปรารถนาความเชื่อและความรู้สึก,เด็ก ๆ สามารถเห็นโครงสร้างทางชาติพันธุ์ที่แตกต่างกัน,th,Thai,1
ed7d6a1e62,"Çiftlikteki insanların inekleri ağ ile kesmemiz gerektiğini söylediğini duyabilirsiniz, bu da yüklü olanı bölmek anlamına gelebilir.",Çiftlikteki insanlar farklı terimler kullanıyor.,tr,Turkish,0
5a0f4908a0,امریکہ واپس آنے پر ، اس نے ایف بی آئی کے ایجنٹوں کے ذریعہ ہوائی اڈے پر الحاج سے ملاقات کی ، ان سے پوچھ گچھ کی گئی ، اور گرین جیوری سے اگلے ہی دن اسامہ بن لادن سے ملاقات کی۔,ہیگ سے ایف بی آئی ایجنٹوں نے تفتیش کی,ur,Urdu,0
fdcd1bd867,From the land of the Cockpit to the Bay of St.Ann,St. Anne's Bay Two Cockpit Country.,en,English,2
7cfb3d272c,"Look, it's your skin, but you'll be in trouble if you don't bother.",The Lord will light you up if He sees you coming down.,en,English,1
8c10229663,"Каждые 100 градусов капли меняют цвет, могут становиться красными и менять цвет на синий.",Цвет варьируется в зависимости от матча.,ru,Russian,0
a1971593d5,"Може да не сме имали всичко, което сме искали или виждали от други хора, но това осигуряваше нещата, от които се нуждаем.","Имаме всичко, от което наистина се нуждаем.",bg,Bulgarian,0
2bf4b86d4f,Es hat zwanzig Prozent Zinsen.,Kann das Interesse 20 überschreiten?,de,German,1
91b03f6bf4,إذا أمكن ، تعرف على البرنامج مقدمًا.,ابحث عن المؤامرة مبكرًا إذا استطعت.,ar,Arabic,0
4c25aa4c06,我希望你的领主能够最终开始认识到，向这样的人授予国王委员会的愚蠢行为反对我的所有建议。,大人刚刚接受了我的意见，并且采取了相应的行动。,zh,Chinese,2
82f24422eb,"माजोदी का दावा है कि वह शादी करने के लिए मोरक्को लौट आया था, लेकिन वहां एक कार दुर्घटना में घायल होने के कारण ऐसा करने में असमर्थ था।",मजुदी ने दावा किया कि वह योजना के साथ गया था।,hi,Hindi,2
6d63ae6397,Watoto waligonga milango ya majirani zao na,Watoto wanaweza kwenda kwenye nyumba za majirani zao.,sw,Swahili,0
dd4f0d9f25,"“If people knew how deadly it is to poison someone by mistake, you wouldn't be joking about it.",Many people have poisoned someone by mistake.,en,English,1
0a3f52c547,"Little Angular in the World, Monster Politics, is an example of this.",An example of this is politics.,en,English,0
4b0eca3ccb,Lifetime in jail he's ready to get parole if it's for life and one day after he's not eligible for parole so what you know let's get out of BSing with the system,"The system is broken, because if it is life, and one day it cannot be released on parole.",en,English,1
cad235551c,"The streets are full of sweets, cottage cheese and coconut shrines, merchants and traders selling wreaths and sacred performances.",Vendors lit the streets with torches and fire.,en,English,2
d8b3a4fb06,"To the north of Mytilene, stop at the village of Moria, where you will find the ruins of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.,en,English,2
ad5a79456e,"An increase in savings by current generations will increase the country's capital reserves, allowing future generations to better cover the country's retirement costs while enjoying a higher standard of living.","The increased savings of the present generations will expand the nation's capital stock, allowing future generations to more easily pay the nation's retirement costs while also enjoying higher living standards.",en,English,0
a7b0b9498c,"This is only the beginning! """,An amazing journey is about to begin!,en,English,1
1ec4761d9d,"Уверяю вас, сэр, я полностью осознавал все.",Многие подробности от меня были скрыты.,ru,Russian,2
17c1f14619,"Britain's best-selling tabloid, The Sun, announced on Friday for the first time worldwide that Texas model Jerry Hall had filed for divorce from aging rock star Mick Jagger before the London High Court.",The sun makes millions every year from fake news.,en,English,1
f5f4dc48c1,Savonarola burnt in Florence,Florence has become the new Savonarola home.,en,English,2
6a98a077a5,"It will be SHORT! """,It will be huge.,en,English,0
00c0cdf348,Người lạnh lùng và xa cách nhất từng phát triển giọng nói của Prince of War.,Giọng nói của Chúa thật xa và lạnh.,vi,Vietnamese,0
8b8a91643a,27 La dificultad aumenta a medida que hay que modificar la caldera para adaptar el SCR a la instalación.,27 Las dificultades dependen de la enmienda.,es,Spanish,0
655cc51991,Guys say here.,He said that men are not here.,en,English,2
